MARZ,CATEGORY,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Shirak  Marz,trade turnover of kioks(ths. drams),1626.1,1502.2,1612.8,1728,1842.4,3331.4,2766.9,2882.9,3123.2,3929.3,2967,2694.5
Shirak  Marz,number of other trade units(unit),28,28,30,31,39,39,44,38,37,70,69,73
Shirak  Marz,trade turnover of other trade units(ths. drams),1015,1206,1724.4,1662.9,1790.6,4222.7,5204.8,4734.8,7416.1,9990,8420.7,10594.9
Shirak  Marz,Average per capita trade turnover(drams),52626.9,65936,90484.2,84572.5,116658.5,160074.3,132762,114455.6,150839.9,190131.6,193222.2,217026.5
Shirak  Marz,Per capita trade turnover compared to average republican(%),20.7,22.8,27.6,25.7,30.6,37.2,29.1,23.8,31,43.5,46.5,48.4
Syunik  Marz,"Number of retail trade organizations, total (unit)",436,415,460,472,440,415,383,398,399,415,429,407
Syunik  Marz,"Retail trade turnover, total (ths. drams)",7363.1,8739.7,10046.3,9110.3,11115.9,12102.4,15361,20698.8,27404.5,15370.4,15748.1,19448.1
Syunik  Marz,number of shops(unit),139,138,175,184,174,173,167,183,201,226,263,265
Syunik  Marz,trade turnover of shops(ths. drams),2214.8,2930.7,3893,3733.8,4468.4,4956.8,6061.4,4891.8,6031.7,6528.5,7464,11544.4
Syunik  Marz,number of consumer goods markets(unit),2,2,4,5,4,4,4,8,7,7,5,4
Syunik  Marz, rade turnover of consumer goods markets(ths. drams),581.7,509.3,832.2,1284.5,950.8,596.2,658.3,884.1,873.5,899.4,790.7,725.8
Syunik  Marz,number of kioks(unit),280,248,246,244,219,196,174,168,151,135,112,84
Syunik  Marz,trade turnover of kioks(ths. drams),2183.4,2188.1,1958.2,1753.3,1797.5,1611.4,1410.7,1526.5,1399.3,1246.7,1147,835.1
Syunik  Marz,number of other trade units(unit),12,24,32,38,42,41,38,39,40,47,49,54
Syunik  Marz,trade turnover of other trade units(ths. drams),1901.7,2723.3,2974.2,2331.2,3887.4,4932.6,7230.6,13396.4,19100,6695.8,6346.4,6342.8
Syunik  Marz,Average per capita trade turnover(drams),48156.3,57159.6,65705,59583.4,77679.2,85168.2,108405.1,146488.3,194911.1,110283.8,113132.9,140217
Syunik  Marz,Per capita trade turnover compared to average republican(%),18.9,19.7,20.1,18.1,20.3,19.8,23.8,30.5,40.1,25.2,27.2,31.3
Vayots Dzor Marz,"Number of retail trade organizations, total (unit)",219,220,234,210,265,229,227,231,313,303,301,295
Vayots Dzor Marz,"Retail trade turnover, total (ths. drams)",4369.1,4776.5,6296.9,3675.6,4418.1,4210,4279.3,4635.2,4745.4,5635.5,5229.6,7275.9
Vayots Dzor Marz,number of shops(unit),129,130,145,120,172,161,159,167,249,258,250,240
Vayots Dzor Marz,trade turnover of shops(ths. drams),2989.5,3689.3,4094.5,959,1208.9,1288.5,1381.5,1807,1973.9,3090.6,2838.2,4625.9
Vayots Dzor Marz,number of agricultural products markets(unit),1,1,1,1,1,1,1,1,1,1,1,1
Vayots Dzor Marz,trade turnover of agricultural products markets(ths. drams),51.5,61.8,41.3,35.9,33.7,44.9,60.7,51.7,45.9,35.3,45.5,54.5
Vayots Dzor Marz,number of kioks(unit),59,59,59,59,59,46,46,43,43,19,26,28
Vayots Dzor Marz,trade turnover of kioks(ths. drams),320,344.9,420.1,419.8,403.3,381.1,332,420.6,393,287.1,272.6,297.7
Vayots Dzor Marz,number of other trade units(unit),29,29,28,29,33,21,21,20,20,25,24,26
Vayots Dzor Marz,trade turnover of other trade units(ths. drams),925,601,1714.5,2233.1,2772.2,2495.5,2505.1,2355.9,2332.6,2222.5,2073.3,2297.8
Vayots Dzor Marz,Average per capita trade turnover(drams),78299.3,85600.4,112847.7,65871,83676.1,80190.5,81822.2,89138.5,92143.7,110283.8,103556.4,145518
Vayots Dzor Marz,Per capita trade turnover compared to average republican(%),30.7,29.6,34.4,20.1,21.9,18.6,17.9,18.5,18.9,25.2,24.9,32.5
Tavush Marz,"Number of retail trade organizations, total (unit)",862,864,993,1071,1067,1070,1036,1012,1025,1145,1161,1232
Tavush Marz,"Retail trade turnover, total (ths. drams)",8129.3,10224.5,12584.1,12389.1,13277.9,15329,18784,19490.6,20994.4,24640.1,25236.1,33457
Tavush Marz,number of shops(unit),447,446,560,652,651,665,672,659,698,848,874,985
Tavush Marz,trade turnover of shops(ths. drams),2526.2,3055.9,4116.6,4612.5,4389.8,4298.6,5933.8,6998.9,7930.8,9502.9,9086.9,13377.7
Tavush Marz,number of consumer goods markets(unit),2,2,2,1,1,1,1,1,1,1,1,1
Tavush Marz, rade turnover of consumer goods markets(ths. drams),1716.2,2494.1,2864.8,1958.7,1700.1,2674.7,4531,3939,3222.2,4768.4,5158.1,6318
Tavush Marz,number of agricultural products markets(unit),2,2,2,2,2,1,1,1,1,1,1,1
Tavush Marz,trade turnover of agricultural products markets(ths. drams),1249.9,1414.1,1770.4,1789.4,2354.9,2009.5,1800.2,2417.8,3254.3,4384.4,4545,6593.4
Tavush Marz,number of kioks(unit),361,372,393,380,379,369,327,312,290,252,240,196
Tavush Marz,trade turnover of kioks(ths. drams),1735.2,1816.5,2007.2,2061.7,2364,2412.3,2110.1,1903.2,1961.2,1824.6,1500.9,1493
Tavush Marz,number of other trade units(unit),50,42,36,36,34,34,35,39,35,43,45,49
Tavush Marz,trade turnover of other trade units(ths. drams),901.8,1443.9,1825.1,1966.8,2469.1,3933.9,4408.9,4231.7,4625.9,4159.8,4945.2,5674.9
Tavush Marz,Average per capita trade turnover(drams),60530.9,76188.5,93841.2,92318.2,102849.7,119014,146179,152270.3,165180.2,195401.3,201888.8,269814.5
Tavush Marz,Per capita trade turnover compared to average republican(%),23.8,26.3,28.6,28.1,26.9,27.7,32,31.7,34,44.7,48.6,60.2
